job_id,company,title,primary_track,secondary_track,location,remote_type,employment_type,salary_min,salary_max,salary_currency,date_posted,date_discovered,last_verified,experience_required,work_authorization_text,sponsorship_text,fit_score,confidence_score,bucket,status,canonical_url,recommended_resume,recommended_projects,next_action
centerfield-ff72748e,Centerfield,Junior Product Designer,B,A,"Los Angeles, CA",Hybrid,Full-time,75000,85000,USD,,2026-07-25,2026-07-25,"0-2 years in digital, web, graphic, UX/UI, or product design.",Unknown: not stated.,Unknown: not stated.,85,70,Archive,closed,https://jobs.lever.co/centerfield/ff72748e-9086-41b1-9559-1d51ad299ac7,Product/Experience route - use the current baseline only temporarily until Resume_Product_Experience.pdf is supplied.,Field Brief | Anaago WeChat Mini Program | ZNTR,No action. The official Lever URL returns 404 on 2026-07-25 even though stale search results still show an Apply action.
directive-57dc2d91,Directive,Motion & Graphic Designer (Remote US),A,,Remote - United States,Remote,Full-time,70000,90000,USD,2026-07-24,2026-07-25,2026-07-26,"1-3 years in graphic design focused on performance creative and CRO, plus one year in motion graphics.",Candidates must have established and current work authorization and permanently reside in the United States.,Unknown: sponsorship is not stated.,84,100,Strong Consideration,shortlisted,https://jobs.ashbyhq.com/directive/57dc2d91-5dfc-42ea-a9f4-1fe14f127276,Visual/Brand route - use the current Visual & Digital baseline until Resume_Visual_Brand.pdf is supplied.,Anaago (only if public sharing is approved) | ZNTR | Artificial Atmosphere,"Apply quickly after tailoring toward motion, paid social, landing pages, fast iteration, and measurable creative testing."
zip-4d0ef7e9,Zip,Product Designer (New Grad),B,,"San Francisco, CA",Hybrid,Full-time,120000,130000,USD,,2026-07-25,2026-07-25,"New-grad role; prior product-design internship, apprenticeship, or relevant projects are welcome.",Unknown: not stated.,Unknown: not stated.,84,85,Archive,closed,https://jobs.ashbyhq.com/zip/4d0ef7e9-a7aa-458f-b049-4144b9157183,Product/Experience route - use the current baseline only temporarily until Resume_Product_Experience.pdf is supplied.,Field Brief | Anaago WeChat Mini Program | ZNTR,No action. The exact requisition is absent from Zip's official Ashby current-postings API on 2026-07-25.
umg-26991,Universal Music Group,Junior Motion Designer,A,C,"Philadelphia, PA",Unknown,Full-time,54000,75000,USD,,2026-07-25,2026-07-26,"1-3 years of motion-design experience, including internships.",UMG states that it participates in E-Verify in Pennsylvania. Harry must confirm how this applies to the latest OPT plan.,The posting does not promise sponsorship; it separately notes limitations for candidates whose employer must enroll in E-Verify in California and New York.,84,85,Strong Consideration,shortlisted,https://umusic.wd5.myworkdayjobs.com/UMGUS/job/Philadelphia-Pennsylvania/Junior-Motion-Designer_UMG-26991,Visual/Brand route - use the current Visual & Digital baseline until Resume_Visual_Brand.pdf is supplied.,Artificial Atmosphere | ZNTR | One Hit,"Decide whether Philadelphia is realistic; if yes, prioritize and tailor the reel toward artist campaigns, animated typography, and social formats."
la28-6564235003,LA28 Olympic & Paralympic Games,"Associate, Brand Guidelines",A,,"Los Angeles, CA",On-site,Full-time,69000,75000,USD,,2026-07-26,2026-07-26,Minimum 3+ years of in-house or agency experience.,Unknown: not stated.,Unknown: not stated.,83,100,Strong Consideration,shortlisted,https://job-boards.greenhouse.io/la2028/jobs/6564235003?gh_src=bbc9c8a03us,"Visual/Brand route emphasizing systems, guideline maintenance, editorial layout, production files, and cross-functional collaboration.",ZNTR | Field Brief | Artificial Atmosphere,"Apply as a selective stretch; frame school, freelance, and internship work honestly as cumulative systems and production experience."
quilt-5186941007,Quilt,Visual Designer,A,B,"Redwood City, CA",Hybrid,Full-time,95000,115000,USD,,2026-07-25,2026-07-26,2-5 years of professional design experience; the posting says quality matters more than years.,Unknown: not stated.,Unknown: not stated.,82,85,Strong Consideration,shortlisted,https://job-boards.greenhouse.io/quilt/jobs/5186941007,Visual/Brand route - use the current Visual & Digital baseline until Resume_Visual_Brand.pdf is supplied.,ZNTR | Anaago (only if public sharing is approved) | Artificial Atmosphere,"Review today; apply only if Redwood City hybrid work is realistic, then foreground cross-channel production and brand-system craft."
hinge-health-beb00f5c,Hinge Health,Product Designer,B,,"San Francisco, CA",Hybrid,Full-time,132000,180000,USD,2026-06-30,2026-07-25,2026-07-26,2+ years of product-design experience with product and engineering partners.,Unknown: not stated.,Unknown: not stated.,81,100,Archive,shortlisted,https://jobs.ashbyhq.com/hinge-health/beb00f5c-e9ff-43bc-a9cd-a49ccf2add1e,Product/Experience route - use the current baseline only temporarily until Resume_Product_Experience.pdf is supplied.,Field Brief | Anaago WeChat Mini Program | Rain Simulator,Consider after the top Track A and new-grad roles; proceed only if relocation and the shipped-product gap feel acceptable.
dentsu-R1124574,Dentsu Creative,Motion Designer,A,,"Los Angeles, CA",Hybrid,Full-time,,,,,2026-07-25,2026-07-25,3-5 years of professional motion-design experience.,Unknown: not stated in the captured excerpt.,Unknown: not stated in the captured excerpt.,81,65,Archive,archived,https://dentsuaegis.wd3.myworkdayjobs.com/en-US/DAN_GLOBAL/job/Motion-Designer_R1124574,Visual/Brand route - no tailoring recommended while the role is archived.,Artificial Atmosphere | ZNTR | One Hit,No action. Reconsider only if the official Workday requisition becomes readable and open again.
nen-creative-a7c735e1,Nen Creative,Brand Designer,A,B,"United States; NYC, Los Angeles, or San Francisco",Remote,Full-time,,,,2026-05-31,2026-07-25,2026-07-26,2-4 years of brand design; agency or studio experience preferred.,Must be based in the United States.,Unknown: not stated.,79,100,Archive,shortlisted,https://jobs.ashbyhq.com/nen-creative/a7c735e1-32c4-4c00-871f-ffecbbb38ae8,Visual/Brand route - use the current Visual & Digital baseline until Resume_Visual_Brand.pdf is supplied.,ZNTR | Field Brief | Artificial Atmosphere,Treat as a strong stretch; audit the portfolio for original identity and website case studies before applying.
hybe-4443070657,HYBE AMERICA,Product Designer (Temporary),A,C,"Santa Monica, CA","Hybrid, 3 days/week on-site","Full-time temporary, 6 months",80000,90000,USD,,2026-07-26,2026-07-26,The posting targets candidates currently pursuing a related degree; no professional-year minimum is listed.,Applicants must be eligible to work in the U.S.,Unknown: not stated.,78,90,Archive,shortlisted,https://www.linkedin.com/jobs/view/4443070657/,"Visual/Brand route emphasizing packaging, mockups, presentation decks, and entertainment storytelling.",ZNTR | Artificial Atmosphere | Anaago,Apply only if you still satisfy the 'currently pursuing a degree' requirement; otherwise skip.
webtoon-6fd68ef9,WEBTOON,Associate Visual Designer (Freelance),A,,"El Segundo, CA",Hybrid,Freelance,30,40,USD/hour,,2026-07-25,2026-07-26,3+ years in visual design for digital platforms.,The application asks whether the candidate is authorized to work in the United States.,The application asks whether the candidate will require current or future sponsorship; the posting does not state a policy.,78,85,Freelance / Contract,shortlisted,https://jobs.lever.co/wattpad/6fd68ef9-79bd-44e2-b963-d6a51977eb80,Visual/Brand route - use the current Visual & Digital baseline until Resume_Visual_Brand.pdf is supplied.,Anaago (only if public sharing is approved) | Artificial Atmosphere | ZNTR,Official Lever page and Apply link were confirmed active on 2026-07-26; treat as a freelance application and confirm OPT/DSO and tax details before accepting.
fabletics-R8203,Fabletics,Graphic Designer,A,C,"El Segundo, CA",Hybrid,Full-time,68500,80000,USD,,2026-07-26,2026-07-26,"3–5 years of graphic-design experience, preferably in e-commerce, fashion, retail, or a digital-first brand.",Unknown: not stated.,Unknown: not stated.,75,100,Archive,shortlisted,https://justfab.wd1.myworkdayjobs.com/en-US/fabletics/job/Jr-Graphic-Designer_R8203,"Visual/Brand route with web, email, campaign systems, and AI-enabled iteration made explicit.",ZNTR | Anaago | Artificial Atmosphere,Keep as a lower-priority stretch after the 1–2 year roles; apply only with a tightly tailored digital-commerce portfolio sequence.
cotton-citizen-hDtw4giwXz,Cotton Citizen,Junior Graphic Designer,A,,"Los Angeles, CA",On-site,Full-time,,,,,2026-07-25,2026-07-26,Unknown: no numeric year requirement is stated on the official page.,Unknown: not stated.,Unknown: not stated.,74,85,Archive,shortlisted,https://cottoncitizen.applytojob.com/apply/hDtw4giwXz/Junior-Graphic-Designer,Visual/Brand route - use the current Visual & Digital baseline until Resume_Visual_Brand.pdf is supplied.,ZNTR | Anaago (only if public sharing is approved) | Sun and Light,"Consider after the top local roles; apply only if Harry can show apparel, pattern, print-production, or adjacent physical-output evidence."
triumph-5811befc,Triumph,Product Designer,B,A,"San Francisco, CA",On-site,Full-time,120000,160000,USD,2026-03-31,2026-07-25,2026-07-26,1-2+ years designing consumer-facing iOS products.,Unknown: not stated.,Unknown: not stated.,72,100,Archive,shortlisted,https://jobs.ashbyhq.com/triumph-arcade/5811befc-f251-40ec-919a-37d76e25e33b/,Product/Experience route - use the current baseline only temporarily until Resume_Product_Experience.pdf is supplied.,Field Brief | Anaago WeChat Mini Program | Rain Simulator,Keep as a product-design stretch; proceed only if San Francisco relocation and the iOS portfolio gap are acceptable.
intro-59e8c47c,Intro,"Brand Designer, Marketing (Contract)",A,,United States,Remote,Contract,50,100,USD/hour,2026-01-06,2026-07-25,2026-07-26,5+ years of professional graphic-design experience or equivalent real-world experience.,Unknown: not stated.,Unknown: not stated.,71,100,Freelance / Contract,shortlisted,https://jobs.ashbyhq.com/intro/59e8c47c-e915-4d2c-be81-d915325325a0,Visual/Brand route - use the current Visual & Digital baseline until Resume_Visual_Brand.pdf is supplied.,Anaago (only if public sharing is approved) | ZNTR | Artificial Atmosphere,"Keep as a secondary contract option; first confirm workload, classification, California eligibility, and whether equivalent project depth can offset years."
handshake-1c09f77c,Handshake,Graphic Designer - AI Trainer,C,A,Remote (USA),Remote,Contract,125,125,USD/hour,2026-02-24,2026-07-25,2026-07-26,"Hands-on vector-design, logo, print, or web-graphics experience; no numeric years stated.",Must reside in the United States. The posting says F-1 students eligible for CPT or OPT may be eligible and directs them to their DSO.,STEM OPT is not supported.,70,100,Freelance / Contract,shortlisted,https://jobs.ashbyhq.com/handshake/1c09f77c-f51f-43b2-913a-dc58d3aa68d8/,Creative Technology route - use a truthful visual/AI baseline and do not imply Inkscape experience unless confirmed.,ZNTR | Artificial Atmosphere | Field Brief,Keep in the supplemental contract pipeline; confirm DSO eligibility and Inkscape proficiency before proceeding.
trueshort-9efb1967,TrueShort,Creative Technologist,C,A,"United States; remote or hybrid, Los Angeles preferred",Remote,Full-time,120000,180000,USD,2026-04-21,2026-07-25,2026-07-26,No numeric years stated on the official JD; the role expects independent ownership of advanced generative-AI pipelines.,Unknown: not stated.,Unknown: not stated.,68,100,Stretch,shortlisted,https://jobs.ashbyhq.com/trueshort/9efb1967-efbb-4e73-873b-530ebe8c623a/,Creative Technology route - do not create this version until Phase 2; current baseline can support only a preliminary review.,Artificial Atmosphere | One Hit | Rain Simulator,Treat as a strategic stretch; only approve if Harry can truthfully demonstrate advanced node-based or technical workflow evidence not currently in the repository.
